Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/predict,1905,0,1300.0,3257.0418250391413,139.06570000108331,92074.04480001424,39.0,10.532028847492695,0.0,1300,1400,1400,1400,1800,5300,33000,82000,92000,92000,92000
,Aggregated,1905,0,1300.0,3257.0418250391413,139.06570000108331,92074.04480001424,39.0,10.532028847492695,0.0,1300,1400,1400,1400,1800,5300,33000,82000,92000,92000,92000
