1775251345.0493774,8,425.91,6.2,0
1775251345.047053,5,430.89,0.0,0
1775251345.051389,7,429.24,0.0,0
1775251345.0355191,2,446.73,100.0,0
1775251345.0488677,6,434.45,16.7,0
1775251345.0450542,4,439.83,0.0,0
1775251345.0440533,3,442.47,0.0,0
1775251345.0395322,1,1014.02,2.3,0
1775251345.0533886,9,1002.15,0.0,0
1775251345.052389,10,1004.15,0.0,0
1775251345.0563886,12,1001.51,0.0,0
1775251345.0543885,11,1004.51,0.0,0
1775251345.055389,13,1004.52,0.0,0
1775251345.0573885,14,1003.52,13.3,0
1775251345.058389,15,1003.52,0.0,0
1775251345.0604334,16,1002.47,0.0,0
1775251345.0614326,17,1002.53,0.0,0
1775251345.0614326,18,1006.31,0.0,0
1775251345.1116138,19,1472.32,13.8,0
1775251345.472624,20,1112.83,0.0,0
1775251345.0629423,21,1523.51,0.0,0
1775251345.0639536,22,1523.56,0.0,0
1775251345.0741448,24,1514.50,0.0,0
1775251345.0711255,23,1517.52,0.0,0
1775251345.0815065,26,1508.13,0.0,0
1775251345.0776966,25,1512.95,0.0,0
1775251345.0899525,28,1711.15,8.4,0
1775251345.0879073,27,1714.57,0.0,0
1775251345.4886796,29,1318.01,0.0,0
1775251345.0933735,30,1713.31,0.0,0
1775251345.9998329,31,808.84,0.0,0
1775251345.097973,32,1711.71,0.0,0
1775251345.1004999,33,1920.03,12.4,0
1775251345.1045172,34,1917.71,0.0,0
1775251346.0687785,2,954.46,0.0,0
1775251346.0712917,3,1107.35,8.0,0
1775251345.108029,35,2887.22,4.4,0
1775251346.4789138,4,1518.33,0.0,0
1775251346.065471,1,1933.09,21.4,0
1775251346.5926418,5,1514.69,2.0,0
1775251346.795939,6,1312.39,12.5,0
1775251346.795939,8,1313.85,0.0,0
1775251346.795939,9,1314.86,0.0,0
1775251346.795939,7,1316.09,0.0,0
1775251346.795939,10,1316.09,0.0,0
1775251346.797463,11,1316.08,0.0,0
1775251346.797463,12,1318.08,0.0,0
1775251346.797463,13,1319.18,0.0,0
1775251346.797463,15,1319.18,0.0,0
1775251346.797463,14,1321.15,0.0,0
1775251346.797463,16,1322.16,0.0,0
1775251346.797463,17,1322.16,0.0,0
1775251346.797463,18,1323.81,0.0,0
1775251346.7990942,19,1322.17,0.0,0
1775251346.7990942,20,1323.41,50.0,0
1775251346.803582,21,1478.12,4.8,0
1775251346.8046854,23,1478.01,0.0,0
1775251346.8046854,24,1534.54,2.0,0
1775251346.8046854,22,1536.55,0.0,0
1775251346.810681,25,1531.56,25.0,0
1775251346.967779,26,1378.48,0.0,0
1775251347.1806479,2,1730.70,5.4,0
1775251347.9922295,3,1381.05,4.3,0
1775251348.1028013,3,1272.70,11.1,0
1775251348.1028013,2,1273.71,0.0,0
1775251347.0242376,1,2353.27,0.0,0
1775251348.1038215,4,1275.05,0.0,0
1775251348.1038215,5,1276.17,0.0,0
1775251348.1038215,6,1277.20,0.0,0
1775251348.1038215,7,1278.21,0.0,0
1775251348.1048129,9,1278.22,0.0,0
1775251348.1048129,8,1279.22,0.0,0
1775251348.12401,10,1372.14,3.5,0
1775251348.2756524,11,1221.50,42.9,0
1775251348.276826,12,1222.34,0.0,0
1775251348.276826,13,1223.37,0.0,0
1775251348.2778597,14,1223.56,0.0,0
1775251348.2778597,15,1224.56,0.0,0
1775251348.2778597,16,1225.63,0.0,0
1775251348.2778597,17,1226.25,0.0,0
1775251348.2788556,18,1226.66,0.0,0
1775251348.0004332,1,1609.98,1.0,0
1775251348.283742,19,1329.31,0.0,0
1775251348.3442407,21,1326.48,17.5,0
1775251348.3432405,20,1329.00,0.0,0
1775251348.347771,22,1378.86,4.2,0
1775251348.401202,23,1332.03,11.1,0
