Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/predict,9318,3945,4100.0,6362.558712857163,69.53380000777543,156435.61689998023,22.488409529942047,7.756066619817838,3.2837178380748413,4100,4200,4300,4600,7500,29000,52000,70000,123000,156000,156000
GET,/predict?cb_nonce=10054,1,0,1616.926799993962,1616.926799993962,1616.926799993962,1616.926799993962,39.0,0.0008323746104118736,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/predict?cb_nonce=101045,1,1,4378.421999979764,4378.421999979764,4378.421999979764,4378.421999979764,0.0,0.0008323746104118736,0.0008323746104118736,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
GET,/predict?cb_nonce=101444,1,0,1638.745000003837,1638.745000003837,1638.745000003837,1638.745000003837,39.0,0.0008323746104118736,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/predict?cb_nonce=101764,1,1,4230.079700006172,4230.079700006172,4230.079700006172,4230.079700006172,0.0,0.0008323746104118736,0.0008323746104118736,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/predict?cb_nonce=101840,1,1,4670.243300031871,4670.243300031871,4670.243300031871,4670.243300031871,0.0,0.0008323746104118736,0.0008323746104118736,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700
GET,/predict?cb_nonce=102121,1,0,2002.3190000792965,2002.3190000792965,2002.3190000792965,2002.3190000792965,39.0,0.0008323746104118736,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,/predict?cb_nonce=102442,1,1,4082.2976999916136,4082.2976999916136,4082.2976999916136,4082.2976999916136,0.0,0.0008323746104118736,0.0008323746104118736,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/predict?cb_nonce=102654,1,1,4093.1596000446007,4093.1596000446007,4093.1596000446007,4093.1596000446007,0.0,0.0008323746104118736,0.0008323746104118736,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/predict?cb_nonce=104048,1,0,2271.0527000017464,2271.0527000017464,2271.0527000017464,2271.0527000017464,39.0,0.0008323746104118736,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/predict?cb_nonce=104058,1,0,2538.973500020802,2538.973500020802,2538.973500020802,2538.973500020802,39.0,0.0008323746104118736,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
